id	mpn	title	description	link	image_link	price	condition	availability
"KG-00419"	"KG-00419"	"Delica's 11/0 aqua n°78"	"Mooie Japanse Miuyki delica's maat 11/0 rond (ongeveer 1,6 mm) in aqua blauw met glans (kleur 78). Verkocht in buisje van 3,5 gr. Dit zijn ongeveer 700 kraaltjes. "	"http://www.kokettekatinka.be/delica-s-11-0-aqua-n-78"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00419.jpg"	"2.99"	"new"	"in stock"
"KG-00420"	"KG-00420"	"Delica's 11/0 donkergroen n°919"	"Mooie Japanse Miuyki delica's maat 11/0 rond (ongeveer 1,6 mm) in koel donkergroen met glans (kleur 919). Verkocht in buisje van 3,5 gr. Dit zijn ongeveer 700 kraaltjes. "	"http://www.kokettekatinka.be/delica-s-11-0-donkergroen-n-919"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00420.jpg"	"2.99"	"new"	"in stock"
"KG-00421"	"KG-00421"	"Delica's 11/0 crème n°52"	"Mooie Japanse Miuyki delica's maat 11/0 rond (ongeveer 1,6 mm) in crème/zacht perzikkleur met glans (kleur 52). Verkocht in buisje van 3,5 gr. Dit zijn ongeveer 700 kraaltjes. "	"http://www.kokettekatinka.be/delica-s-11-0-creme-n-52"	"http://www.kokettekatinka.be/media/catalog/product/k/g/kg-00421.jpg"	"2.99"	"new"	"in stock"
"KM-00040"	"KM-00040"	"Vlinder roze goudkleur"	"Tussenstuk in de vom van een vlinder in roze goudkleur, 37mm breed, 2,5mm dik."	"http://www.kokettekatinka.be/vlinder-roze-goudkleur"	"http://www.kokettekatinka.be/media/catalog/product/k/m/km-00040.jpg"	"0.85"	"new"	"in stock"
"OM-00112"	"OM-00112"	"Ringbasis vlak 16mm oud goudkleur"	"Platte ringbasis met diameter 16mm. De maat van de ring is aanpasbaar."	"http://www.kokettekatinka.be/ringbasis-vlak-16mm-oud-goudkleur"	"http://www.kokettekatinka.be/media/catalog/product/o/m/om-00112.jpg"	"5.95"	"new"	"in stock"
"SS-00265"	"SS-00265"	"Katoen Elixir muntgroen"	"Zacht katoen met prachtige geometrische print.   Let op: breedte stof is 112cm. Dat is smaller dan de meeste van onze stoffen!"	"http://www.kokettekatinka.be/katoen-elixir-muntgroen"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00265_1.jpg"	"14.95"	"new"	"in stock"
"SS-00267"	"SS-00267"	"Katoen Rise & Shine grijs"	"Zacht katoen met pachtige geometrische print.   Let op: breedte stof is 112cm. Dat is smaller dan de meeste van onze stoffen!"	"http://www.kokettekatinka.be/katoen-rise-shine-grijs"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00267_1.jpg"	"14.95"	"new"	"in stock"
"OM-00113"	"OM-00113"	"T-pen goudkleur 45m"	"T-pen (nietstift) in goudkleurig metaal. Lengte 45mm."	"http://www.kokettekatinka.be/t-pen-goudkleur-45m"	"http://www.kokettekatinka.be/media/catalog/product/o/m/om-00113.jpg"	"0.2"	"new"	"in stock"
"SS-00268"	"SS-00268"	"Katoen Star Flight lichtblauw"	"Zacht en soepel katoen van het populaire merk Soft Cactus. Stofbreedte 145cm.  Oeko-Tex gecertificeerd."	"http://www.kokettekatinka.be/katoen-star-flight-lichtblauw"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00268_1.jpg"	"11.95"	"new"	"in stock"
"SS-00269"	"SS-00269"	"Katoen Star Flight geel"	"Zacht en soepel katoen van het populaire merk <a href=http://www.kokettekatinka.be/stoffen.html?brand=108>Soft Cactus</a>. Stofbreedte 145cm.  Oeko-Tex gecertificeerd."	"http://www.kokettekatinka.be/katoen-star-flight-oranje"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00269_1.jpg"	"11.95"	"new"	"in stock"
"SS-00270"	"SS-00270"	"Katoen Tree Topping groen"	"Zacht en soepel katoen van het populaire merk Soft Cactus. Stofbreedte 145cm.  Oeko-Tex gecertificeerd."	"http://www.kokettekatinka.be/katoen-tree-topping-groen"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00270_1.jpg"	"11.95"	"new"	"in stock"
"SS-00271"	"SS-00271"	"Katoen Tree Topping blauw"	"Zacht en soepel katoen van het populaire merk Soft Cactus. Stofbreedte 145cm.  Oeko-Tex gecertificeerd."	"http://www.kokettekatinka.be/katoen-tree-topping-blauw"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00271_2.jpg"	"11.95"	"new"	"in stock"
"SS-00272"	"SS-00272"	"Katoen Folding Boats rood"	"Zacht en soepel katoen van het populaire merk Soft Cactus. Stofbreedte 145cm.  Oeko-Tex gecertificeerd."	"http://www.kokettekatinka.be/katoen-folding-boats-rood"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00272_2.jpg"	"11.95"	"new"	"in stock"
"SS-00273"	"SS-00273"	"Katoen Folding Boats groen"	"Zacht en soepel katoen van het populaire merk Soft Cactus. Stofbreedte 145cm.  Oeko-Tex gecertificeerd."	"http://www.kokettekatinka.be/katoen-folding-boats-groen"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00273_1.jpg"	"11.95"	"new"	"in stock"
"SS-00274"	"SS-00274"	"Katoen Flowerworks groen"	"Zacht en soepel katoen van het populaire merk Soft Cactus. Stofbreedte 145cm.  Oeko-Tex gecertificeerd."	"http://www.kokettekatinka.be/katoen-flowerworks-groen"	"http://www.kokettekatinka.be/media/catalog/product/s/s/ss-00274.jpg"	"11.95"	"new"	"in stock"
"OM-00114"	"OM-00114"	"Karabijnslot oud koperkleur 12mm"	"Karabijnslotje in oud koperkleur. Lengte 12mm."	"http://www.kokettekatinka.be/karabijnslot-oud-koperkleur-12mm"	"http://www.kokettekatinka.be/media/catalog/product/o/m/om-00114.jpg"	"1"	"new"	"in stock"
"OM-00115"	"OM-00115"	"Draadbeschermer oud koperkleur"	"Draadbeschermer in oud koperkleur. "	"http://www.kokettekatinka.be/draadbeschermer-oud-koperkleur"	"http://www.kokettekatinka.be/media/catalog/product/o/m/om-00115.jpg"	"0.1"	"new"	"in stock"
