"You will earn %s for a Facebook like.","You will earn %s for a Facebook like."
"You will earn %s for a Google plus +1.","You will earn %s for a Google plus +1."
"You will earn %s for a Twitter tweet.","You will earn %s for a Twitter tweet."
"You will earn %s for rating this product.","You will earn %s for rating this product."
"You will earn %s for writing a review and %s for rating this product.","You will earn %s for writing a review and %s for rating this product."
"You will earn %s for writing a review this product.","You will earn %s for writing a review this product."
"You will earn %s for writing a tag for this product.","You will earn %s for writing a tag for this product."
"You will earn %s on your birthday.","Op je verjaardag krijg je van ons %s!"
"points per customer per day","points per customer per day"
"to earn %s for sharing!","to earn %s for sharing!"
