"Refer Friends","Refer Friends"
"Refer Friends Plugin Configuration","Refer Friends Plugin Configuration"
"Refer this product to your friends and get reward points.","Refer this product to your friends and get reward points."
"Referral Policy","Referral Policy"
"Referring method(s)","Referring method(s)"
"Refresh","Refresh"
"Reward Points","Reward Points"
"STORE VIEW","STORE VIEW"
"Save","Save"
"Save And Continue Edit","Save And Continue Edit"
"Select Contacts","Select Contacts"
"Select contacts to send email","Select contacts to send email"
"Select method","Select method"
"Send Email","Send Email"
"Share Product","Share Product"
"Share it on Facebook","Share it on Facebook"
"Share it on Google +","Share it on Google +"
"Share the referring link or coupon code with your friends and earn commissions.","Share the referring link or coupon code with your friends and earn commissions."
"Share with Friend","Share with Friend"
"Sharing via Facebook","Sharing via Facebook"
"Sharing via Google+","Sharing via Google+"
"Sharing via Twitter","Sharing via Twitter"
"Sharing via email","Sharing via email"
"Shipping Country","Shipping Country"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Special Offer","Special Offer"
"Special Offer Information","Special Offer Information"
"Special Offer Manager","Special Offer Manager"
"Special Offer was successfully saved","Special Offer was successfully saved"
"Special Offer.","Special Offer."
"Special Referring Friends Offers","Special Referring Friends Offers"
"Start at: %s","Start at: %s"
"Start shopping","Start shopping"
"Status","Status"
"Stop processing further rules","Stop processing further rules"
"Subject:","Subject:"
"Subtotal","Subtotal"
"Taken back points for refunded order #%s by invited friend","Taken back points for refunded order #%s by invited friend"
"Taken back points for refunded order by invited friend","Taken back points for refunded order by invited friend"
"The maximum number of emails which can be sent by a referring Customer per day. If empty or zero, there is no limitation.","The maximum number of emails which can be sent by a referring Customer per day. If empty or zero, there is no limitation."
"The product had been sent to your friends.","The product had been sent to your friends."
"This message has been posted successfully!","This message has been posted successfully!"
"This message has not been posted!","This message has not been posted!"
"Title","Title"
"To date","To date"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Tweet","Tweet"
"Tweet it","Tweet it"
"Twitter","Twitter"
"Twitter Message","Twitter Message"
"Twitter application ID","Twitter application ID"
"Twitter application secret","Twitter application secret"
"Unable to find item to save","Unable to find item to save"
"Use Default","Use Default"
"Use default configuration","Use default configuration"
"Validate from","Validate from"
"Validate to","Validate to"
"Value","Value"
"Verification","Verification"
"View Order","View Order"
"We give you some benefits to refer friends","We give you some benefits to refer friends"
"Website","Website"
"Websites","Websites"
"XML","XML"
"Yahoo","Yahoo"
"Yahoo Application ID","Yahoo Application ID"
"Yahoo Consumer Key","Yahoo Consumer Key"
"Yahoo Consumer Secret","Yahoo Consumer Secret"
"Yes","Yes"
"You can send a maximum of ","You can send a maximum of "
"You can share your link or coupon to your friends in quickly by using our strong online marketing tool, such as: email, Facebook, Twitter, G+. Find them in below.","You can share your link or coupon to your friends in quickly by using our strong online marketing tool, such as: email, Facebook, Twitter, G+. Find them in below."
"at","at"
"coupon code","coupon code"
"get contacts from gmail","get contacts from gmail"
"get contacts from yahoo","get contacts from yahoo"
"link","link"
