"Convert to shipped","Convert to shipped"
"Order %s has succesfully been converted to a shipped order","Order %s has succesfully been converted to a shipped order"
"Order %s has succesfully been transfered to SendCloud","Order %s has succesfully been transfered to SendCloud"
"Order %s has the following problem: ","Order %s has the following problem: "
"Order completed, sent with Sendcloud Integration","Order completed, sent with Sendcloud Integration"
"Ship with SendCloud","Ship with SendCloud"
"The order has succesfully been transfered to SendCloud","The order has succesfully been transfered to SendCloud"
