"%s index was rebuilt.","%s index was rebuilt."
"Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation..","Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation.."
"Shopping Cart Earning Rule","Shopping Cart Earning Rule"
"Shopping Cart Earning Rule Information","Shopping Cart Earning Rule Information"
"Shopping Cart Earning Rule Manager","Shopping Cart Earning Rule Manager"
"Shopping Cart Earning Rules","Shopping Cart Earning Rules"
"Shopping Cart Spending Rule","Shopping Cart Spending Rule"
"Shopping Cart Spending Rule Information","Shopping Cart Spending Rule Information"
"Shopping Cart Spending Rule Manager","Shopping Cart Spending Rule Manager"
"Shopping Cart Spending Rules","Shopping Cart Spending Rules"
"Show collectible points on Product listing pages","Show collectible points on Product listing pages"
"Spend Points for ","Spend Points for "
"Spend X points for every Y amount of Price","Spend X points for every Y amount of Price"
"Spending","Spending"
"Spending Points","Spending Points"
"Spending Rates","Spending Rates"
"Spending-point Step ","Spending-point Step "
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"The item does not exist","The item does not exist"
"The rule has been successfully removed.","The rule has been successfully removed."
"The rule you have added/edited has not been applied. Please click on the Apply Rules in order to see the effect on the catalog.","The rule you have added/edited has not been applied. Please click on the Apply Rules in order to see the effect on the catalog."
"There was a problem with reindexing process.","There was a problem with reindexing process."
"To a fixed amount","To a fixed amount"
"To a percentage of the original price","To a percentage of the original price"
"To date","To date"
"Total","Total"
"Total incl. tax","Total incl. tax"
"Transactions history","Transactions history"
"Unable to find the item to save","Unable to find the item to save"
"Update prices using the following information","Update prices using the following information"
"Use Your Points","Use Your Points"
"Uses Allowed Per Product","Uses Allowed Per Product"
"Valid from","Valid from"
"Valid to","Valid to"
"Website","Website"
"Websites","Websites"
"What","What"
"With %s","With %s"
"Yes","Yes"
"You could receive some %s for purchasing this product","You could receive some %s for purchasing this product"
"You need","You need"
"You need to earn ","You need to earn "
"You will earn %s for purchasing this product.","You will earn %s for purchasing this product."
"Your balance is not enought to spend.","Your balance is not enought to spend."
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"here","here"
"login","login"
"off","off"
"select the type to earn points","select the type to earn points"
"select the type to limit spending points","select the type to limit spending points"
"select the type to spend points","select the type to spend points"
"to learn about it.","to learn about it."
"to redeem your points on this product","to redeem your points on this product"
"with","with"
