Periode,Bestellingen,"Sales Items","Sales Total",Gefactureerd,Terugbetaald,"Sales Tax","Sales Shipping","Sales Discount",Geannuleerd
"18 apr. 2014",8,70,"€ 158,50","€ 158,50","€ 0,00","€ 27,50","€ 0,00","€ 16,65","€ 0,00"
Total,8,70,"€ 158,50","€ 158,50","€ 0,00","€ 27,50","€ 0,00","€ 16,65","€ 0,00"
